学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
曲阜师范大学,4137010446,山东省,山东省,济宁市,本科,公办
聊城大学,4137010447,山东省,山东省,聊城市,本科,公办
德州学院,4137010448,山东省,山东省,德州市,本科,公办
滨州学院,4137010449,山东省,山东省,滨州市,本科,公办
鲁东大学,4137010451,山东省,山东省,烟台市,本科,公办
临沂大学,4137010452,山东省,山东省,临沂市,本科,公办
泰山学院,4137010453,山东省,山东省,泰安市,本科,公办
济宁学院,4137010454,山东省,山东省,济宁市,本科,公办
菏泽学院,4137010455,山东省,山东省,菏泽市,本科,公办
山东财经大学,4137010456,山东省,山东省,济南市,本科,公办
山东体育学院,4137010457,山东省,山东省,济南市,本科,公办
山东艺术学院,4137010458,山东省,山东省,济南市,本科,公办
